Key,English [en-GB],French,German,Spanish
Consoles/LOADING_TIP_CONSOLE_036,"Monsters share an attack modifier deck, so if a monster receives a Curse or Bless, it could be another monster that draws that effect!","Les monstres partagent le même deck de modificateurs d'attaque, ce qui signifie que, si l'un d'eux reçoit une Bénédiction ou une Malédiction, il est possible que ce soit un autre qui le pioche !","Die Monster teilen sich ein Angriffsmodifikator-Deck. Wenn ein Monster also einen Fluch oder einen Segen erhält, könnte ein anderes Monster diesen Effekt ziehen!","Los monstruos comparten el mismo mazo de Modificadores de ataque. Por tanto, si un monstruo recibe una Maldición o una Bendición, ¡puede que sea otro el que juegue esa carta!"
Consoles/LOADING_TIP_CONSOLE_037,"Note that abilities that remove negative conditions, such as Cure potions, can not remove Curses from the attack modifier deck.","Notez que les capacités dissipant les états négatifs, telles que les potions de guérison, ne peuvent pas retirer les Malédictions du deck de modificateurs d'attaque.","Fertigkeiten wie Arzneitränke, die negative Zustände entfernen, können Flüche nicht aus dem Angriffsmodifikator-Deck entfernen.","Ten en cuenta que las capacidades que retiran estados negativos, como las pociones de remedio, no pueden retirar maldiciones del mazo de Modificadores de ataque."
Consoles/LOADING_TIP_CONSOLE_038,"There is a 10 Curse limit shared between mercenary attack modifier decks, and another separate limit of 10 for the monster attack modifier deck. Trying to add an 11th Curse to any deck will have no effect!","Le nombre de Malédictions en jeu est limité. Il ne peut pas y en avoir plus de 10 entre tous les decks de modificateurs d'attaque des divers mercenaires, et idem pour ce qui est des decks de modificateurs d'attaque des monstres (avec une limite de 10, là aussi). Essayer d'ajouter une nouvelle Malédiction à un deck de modificateurs d'attaque, quel qu'il soit, alors que la limite est déjà atteinte, reste sans effet.",Es gibt bei allen Angriffsmodifikator-Decks der Söldner eine Begrenzung von zehn Flüchen sowie eine separate Begrenzung von zehn Flüchen bei den Angriffsmodifikator-Decks der Monster. Das Hinzufügen eines elften Fluchs hat keine Wirkung.,"Tanto el mazo de Modificadores de ataque de los mercenarios como el mazo de Modificadores de ataque de los monstruos tienen un límite de 10 maldiciones. Si intentas añadir una maldición más a cualquiera de los mazos, ¡no surtirá efecto!"
Consoles/LOADING_TIP_CONSOLE_039,There is a shared 10 Bless limit among all attack modifier decks. Trying to add a Bless to any attack modifier deck while 10 Blesses are already in play will have no effect!,"Il ne peut pas y avoir plus de 10 Bénédictions en jeu entre les decks de modificateurs d'attaque des divers mercenaires et celui des monstres. Essayer d'ajouter une nouvelle Bénédiction à un deck de modificateurs d'attaque, quel qu'il soit, alors qu'il y en a déjà 10 en jeu, reste sans effet.","Es gibt bei allen Angriffsmodifikator-Decks eine Begrenzung von zehn Segen. Sind bereits zehn Segen aktiv, dann hat das Hinzufügen eines weiteren Segens keine Wirkung.","Los mazos de Modificadores de ataque tienen un límite de 10 bendiciones entre todos. Si intentas añadir una Bendición a cualquier mazo de Modificadores de ataque cuando ya hay 10 bendiciones en juego, ¡no tendrá ningún efecto!"
Consoles/LOADING_TIP_CONSOLE_040,Down to only a pair of discarded cards? Short Resting would lead to exhaustion; consider Long Resting and be a meat shield!,"Il ne vous reste plus que deux ou trois cartes défaussées ? Si vous vous accordez un repos court, vous vous retrouverez épuisé. C'est peut-être le moment de vous offrir un repos long, quitte à devoir encaisser des coups !","Du hast nur noch ein paar abgeworfene Karten übrig? Eine kurze Rast würde zur Erschöpfung führen, lege also besser eine lange Rast ein und heile dabei ein wenig.","¿Solo te queda una pareja de cartas descartadas? Si haces un descanso corto, sufrirás agotamiento. ¡Plantéate hacer un descanso largo y serás un escudo de carne!"
Consoles/LOADING_TIP_CONSOLE_041,Stay hydrated!,Pensez à toujours bien vous hydrater !,Immer schön auf die Flüssigkeitszufuhr achten!,¡La hidratación es importante!
Consoles/LOADING_TIP_CONSOLE_042,"If a non-aggressive character is attempting to move to a location but the route is blocked, then that character will not move.","Si un personnage non agressif tente de se rendre quelque part mais que le passage est bloqué, il ne se déplace pas.","Versucht ein nicht-aggressiver Charakter an einen Punkt zu gelangen, dessen Zugangsweg blockiert ist, dann bewegt sich dieser Charakter nicht.","Si un personaje que no sea de ataque pretende moverse a una ubicación pero la ruta está bloqueada, dicho personaje no se moverá."
Consoles/LOADING_TIP_CONSOLE_043,"It's up to you whether to have 2, 3 or 4 mercenaries in your party – the difficulty of a scenario will scale based on how many you bring along.","À vous de voir si vous souhaitez avoir deux, trois ou quatre mercenaires au sein de votre compagnie. La difficulté du scénario augmente en fonction du nombre de personnages.","Du hast die Wahl, ob zwei, drei oder vier Söldner in der Party sind. Die Schwierigkeit eines Szenarios passt sich der Anzahl der Söldner an, die du mitbringst.","Tú decides si tener a 2, 3 o 4 mercenarios en tu grupo. La dificultad del escenario aumentará dependiendo de cuántos te acompañen."
Consoles/LOADING_TIP_CONSOLE_044,"Choices made during Road and City Events can affect the world, potentially causing new quests and events to become available.","Les choix que vous faites lors des événements de route ou de ville peuvent affecter le monde de jeu, en débloquant par exemple de nouvelles quêtes ou de nouveaux événements.",Deine Entscheidungen bei Weg- und Stadt-Ereignissen können die Spielwelt beeinflussen. Dadurch werden möglicherweise neue Quests und Ereignisse ausgelöst.,Las elecciones tomadas durante los eventos de ciudad y de camino pueden afectar al mundo y podrían provocar la aparición de nuevas misiones y eventos.
Consoles/LOADING_TIP_CONSOLE_045,"Unlike normal chests, you do not get to keep quest items looted from Ornate Chests if you fail the scenario.","Contrairement aux coffres normaux, les coffres ornés ne vous permettent pas de conserver les objets de quête récupérés si vous ne réussissez pas le scénario.","Im Gegensatz zu herkömmlichen Truhen kannst du aus Ornament-Truhen erbeutete Quest-Gegenstände nicht behalten, wenn du das Szenario verlieren solltest.","A diferencia de los cofres normales, no te quedarás lo que contenga un cofre decorado si pierdes el escenario."
Consoles/LOADING_TIP_CONSOLE_046,"Summons can only be summoned onto empty hexes - traps, difficult terrain and even gold will block summons!","Les invocations ne peuvent être appelées que sur des hexagones vides. Elles sont bloquées par les pièges, les terrains difficiles, et même les tas d'or.","Beschworene können nur auf leeren Feldern beschworen werden. Fallen, schwieriges Gelände und selbst Gold verhindern Beschwörungen.","Las invocaciones solo se pueden invocar en hexágonos vacíos. Las trampas, el terreno difícil o incluso el oro bloquean las invocaciones."
Consoles/OVERWRITE_EXISTING_LOCAL_SAVE,A private save with this name already exists. Do you want to overwrite the existing private save with the current state of game?,Une sauvegarde privée du même nom existe déjà. Voulez-vous écraser la sauvegarde privée existante avec les données actuelles du jeu ?,Ein privater Spielstand mit diesem Namen existiert bereits. Willst du den existierenden privaten Spielstand mit den aktuellen Spieldaten überschreiben?,Ya existe un archivo de guardado privado con este nombre. ¿Quieres sobrescribir el archivo de guardado con el estado de la partida actual?
Consoles/OVERWRITE_SAVE_BUTTON,Overwrite Private Save,Écraser la sauvegarde privée,Privaten Spielstand überschreiben,Sobrescribir archivo de guardado privado
Consoles/OVERWRITE_SAVE_TITLE,Overwrite Private Save,Écraser la sauvegarde privée,Privaten Spielstand überschreiben,Sobrescribir archivo de guardado privado
Consoles/RedGuard_SKIN_ALT,Alternative skin,Déguisement alternatif,Alternatives Kostüm,Traje alternativo
Consoles/SCENARIO_PUZZLE_4A_03,"By the way, if you're struggling to make out objects and enemies in the undergrowth, you can press {HIGHLIGHT} to highlight them.

You can also see the turn order of monsters of the same class this way. They will all get the same <b>initiative</b> from the card drawn for their class, but the actual order per monster on that class' turn is determined by their ID numbers. Lower numbers act first!","Au fait, si vous avez du mal à discerner les objets ou les adversaires dans les fourrés, vous pouvez les mettre en surbrillance en appuyant sur {HIGHLIGHT}.

Vous pouvez également voir de cette façon dans quel ordre agissent les monstres de la même classe. Tous auront bien sûr la même <b>initiative</b>, en fonction de la carte piochée pour leur classe, mais l'ordre dans lequel ils agissent entre eux est déterminé par leur identifiant. Plus celui-ci est faible, plus le monstre agit vite.","Falls du übrigens weder Objekte noch Gegner im Unterholz erkennen kannst, drücke {HIGHLIGHT}, um sie hervorzuheben.

Auf diese Weise kannst du außerdem die Zugreihenfolge von Monstern einer Klasse sehen. Sie haben alle dieselbe <b>Initiative</b> durch die Karte, die für ihre Klasse gezogen wurde. Die tatsächliche Reihenfolge der Monster innerhalb einer Klasse wird durch ihre Nummer bestimmt. Je niedriger ihre Nummer, desto eher handeln sie.","Por cierto, si te cuesta ver los objetos y los enemigos en el sotobosque, puedes pulsar la tecla {HIGHLIGHT} para resaltarlos.

De esta forma, también podrás ver el orden de los turnos de los monstruos que sean de la misma clase. Todos sacarán la misma <b>iniciativa</b> de las cartas que roben para su clase, pero el orden real de cada monstruo en ese turno de clase estará determinado por sus números de identificación. ¡Los números inferiores actúan primero!"
Consoles/SCENARIO_PUZZLE_5B_ROTATE_MESSAGE,I’ll leave you to finish off the rest of these bad guys. Did you know you can rotate the shape of an Area Effect by pressing {UI_RETRY}? ,"Allez, je vous laisse vous débarrasser de ceux qui restent. Au fait, saviez-vous que vous pouvez faire pivoter la forme d'un effet de zone en appuyant sur {UI_RETRY} ?","Ich überlasse es dir, die restlichen Schurken aus dem Weg zu räumen. Hast du übrigens schon gewusst, dass du die Schablone eines Bereichseffekts drehen kannst, indem du {UI_RETRY} drückst?","Bueno, te dejo que te encargues del resto de los malos. ¿Sabías que puedes ir rotando la forma de una zona de efecto pulsando la tecla {UI_RETRY}?"
Consoles/TUTORIAL_1_ABILITY_CARDS_AVAILABLE_MESSAGE,"In this tutorial, the <color=#a06e4b><b>Brute</b></color> has just two cards at his disposal, as you can see highlighted on the left: <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Grab and Go</color></font></b></nobr>, <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Trample</color></font></b></nobr>.","Dans ce tutoriel, la <color=#a06e4b><b>Brute</b></color> n'a que deux cartes à sa disposition, comme vous pouvez le voir en surbrillance à gauche : <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Pas Vu, Pas Pris</color></font></b></nobr>, <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0> Piétinement</color></font></b></nobr>.","In diesem Tutorial stehen dem <color=#a06e4b><b>Brute</b></color> nur zwei Karten zur Verfügung, wie Sie links hervorgehoben sehen können: <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Schnelle Beute</color></font></b></nobr>, <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0> Trampeln</color></font></b></nobr>.","En este tutorial, el <color=#a06e4b><b>Brute</b></color> tiene solo dos cartas a su disposición, como puede ver resaltado a la izquierda: <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Agarrar y listo</color></font></b></nobr>, <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0> Pisotear</color></font></b></nobr>."
Consoles/TUTORIAL_1_ABILITY_CARDS_INFO_MESSAGE,"In <b>Gloomhaven</b>, you control a party of mercenaries, each equipped with a deck of <color=#FADC99><b>Ability Cards</b></color>. These cards are how your mercenaries will explore dungeons, fight enemies and loot treasure.

At the beginning of each round, the first thing to do is to select two cards for each mercenary to use on their turn.","Dans <b>Gloomhaven</b>, vous contrôlez une compagnie de mercenaires, chacun équipé d'un deck de <color=#FADC99><b>cartes de capacité</b></color>. C'est grâce à ces cartes qu'ils pourront explorer des donjons, combattre leurs adversaires et amasser des trésors.

Au début de chaque round, votre priorité sera de sélectionner deux cartes pour chaque mercenaire, cartes qu'ils utiliseront quand viendra leur tour dans le round.","In <b>Gloomhaven</b> steuerst du eine Gruppe von Söldnern, die jeweils mit einem Deck von <color=#FADC99><b>Fertigkeitskarten</b></color> ausgestattet sind. Mithilfe dieser Karten erkunden deine Söldner Verliese, kämpfen gegen Gegner und erbeuten Schätze.

Am Anfang jeder Runde musst du als Erstes für jeden Söldner zwei Karten wählen, die diese einsetzen, wenn sie an der Reihe sind.","En <b>Gloomhaven</b> controlas a un grupo de mercenarios, cada uno de ellos equipado con un mazo de <color=#FADC99><b>cartas de Capacidad</b></color>. Dichas cartas son el modo en que tus mercenarios exploran mazmorras, se enfrentan a enemigos y saquean tesoros.

Al inicio de cada ronda, lo primero que se hace es elegir dos cartas para cada mercenario, quien las usará en su turno."
Consoles/TUTORIAL_1_CLICK_CONFIRM_ATTACK_TITLE,Press the Confirm Targets button to attack!,Appuyez sur le bouton Confirmer les cibles pour attaquer !,"Drücken Sie die Schaltfläche „Ziele bestätigen“, um anzugreifen!",¡Presiona el botón Confirmar objetivos para atacar!
Consoles/TUTORIAL_1_CLICK_CONFIRM_MOVEMENT_TITLE,Press the Confirm Movement button to continue,Appuyez sur le bouton Confirmer le mouvement pour continuer,"Drücken Sie die Schaltfläche Bewegung bestätigen, um fortzufahren",Presione el botón Confirmar movimiento para continuar
Consoles/TUTORIAL_1_CLICK_END_SELECTION_TITLE,Press End Selection to continue,Appuyez sur Fin de sélection pour continuer,"Drücken Sie Auswahl beenden, um fortzufahren",Pulse Finalizar selección para continuar
Consoles/TUTORIAL_1_CLICK_END_TURN,Press End Turn to continue,Appuyez sur Fin du tour pour continuer,"Drücken Sie auf ""Zug beenden"", um fortzufahren.",Presiona en Finalizar turno para continuar.
Consoles/TUTORIAL_1_CLICK_OPEN_DOOR_TITLE,Press the Open Door button to confirm the move,Appuyez sur le bouton Ouvrir la porte pour confirmer le déplacement,"Drücken Sie auf ""Tür öffnen"", um die Bewegung zu bestätigen.",Pulse el botón Abrir puerta para confirmar el movimiento.
Consoles/TUTORIAL_1_ENEMY_ROUND_INFO_MESSAGE,"Whilst hovered, you can see the <color=#C53F3F><b>Bandit</b></color>'s intentions this round: he plans to <color=#FADC99><b>Move</b></color> and <color=#FADC99><b>Attack</b></color>!","De cette façon, vous pouvez voir les intentions du <color=#C53F3F><b>Bandit</b></color> pour ce round : il compte se <color=#FADC99><b>déplacer</b></color> et <color=#FADC99><b>attaquer</b></color> !

Alors que les personnages ont droit à deux <color=#FADC99><b>actions</b></color> par tour, les monstres n'en ont qu'une. Cependant, cette action comprend souvent plusieurs <color=#FADC99><b>capacités</b></color>.","Beim Darüberfahren siehst du die Absichten des <color=#C53F3F><b>Banditen</b></color> für diese Runde: eine <color=#FADC99><b>Bewegung</b></color> und einen <color=#FADC99><b>Angriff</b></color>!

Spielercharaktere erhalten bei jedem Zug zwei <color=#FADC99><b>Aktionen</b></color>, Monster aber nur eine - allerdings sind darin oft mehrere <color=#FADC99><b>Fertigkeiten</b></color> enthalten.","Mientras tengas el ratón sobre el <color=#C53F3F><b>bandido</b></color>, podrás ver sus intenciones para esta ronda: ¡pretende <color=#FADC99><b>moverse</b></color> y <color=#FADC99><b>atacar</b></color>!

Mientras que los personajes jugadores tienen dos <color=#FADC99><b>acciones</b></color> por turno, los monstruos solo tienen una, aunque suelen incluir varias <color=#FADC99><b>capacidades</b></color>."
Consoles/TUTORIAL_1_ENEMY_ROUND_INFO_MESSAGE_CONTROLLER,"Whilst focused, you can see the <color=#C53F3F><b>Bandit</b></color>'s intentions this round: he plans to <color=#FADC99><b>Move</b></color> and <color=#FADC99><b>Attack</b></color>!","En vous concentrant sur le <color=#C53F3F><b>Bandit</b></color>, vous pouvez voir quelles sont ses intentions pour ce round : il compte se <color=#FADC99><b>déplacer</b></color> et <color=#FADC99><b>attaquer</b></color> !",Beim Fokussieren siehst du die Absichten des <color=#C53F3F><b>Banditen</b></color> für diese Runde: eine <color=#FADC99><b>Bewegung</b></color> und einen <color=#FADC99><b>Angriff</b></color>!,"Mientras centres tu atención en el <color=#C53F3F><b>bandido</b></color>, podrás ver sus intenciones para esta ronda: ¡pretende <color=#FADC99><b>moverse</b></color> y <color=#FADC99><b>atacar</b></color>!"
Consoles/TUTORIAL_1_FIRST_ENEMY_MESSAGE,"This room contains your first enemy, a <color=#C53F3F><b>Bandit Guard</b></color>! Like player characters, monsters also select actions for their turn - let's find out what this <color=#C53F3F><b>Bandit</b></color> is planning to do this round by selecting it in top panel.","Cette salle contient votre premier ennemi, un <color=#C53F3F><b>Garde Bandit</b></color> ! Comme les personnages joueurs, les monstres sélectionnent également des actions pour leur tour - découvrons ce que ce <color=#C53F3F><b>Bandit</b></color> prévoit de faire ce tour en le sélectionnant dans le panneau supérieur.","Dieser Raum enthält Ihren ersten Feind, eine <color=#C53F3F><b>Banditenwache</b></color>! Wie Spielercharaktere wählen auch Monster Aktionen für ihren Zug aus – lassen Sie uns herausfinden, was dieser <color=#C53F3F><b>Bandit</b></color> in dieser Runde vorhat, indem Sie es im oberen Bereich auswählen.","¡Esta sala contiene a tu primer enemigo, un <color=#C53F3F><b>Guardia Bandido</b></color>! Al igual que los personajes jugadores, los monstruos también seleccionan acciones para su turno. Averigüemos qué planea hacer este <color=#C53F3F><b>Bandido</b></color> en esta ronda seleccionándolo en el panel superior."
Consoles/TUTORIAL_1_FIRST_ENEMY_MESSAGE_CONTROLLER,"This room contains your first enemy, a <color=#C53F3F><b>Bandit Guard</b></color>! Like player characters, monsters also select actions for their turn - let's find out what this <color=#C53F3F><b>Bandit</b></color> is planning to do this round by focusing over his portrait in the top panel.","Cette salle contient votre premier adversaire, un <color=#C53F3F><b>Garde Bandit</b></color> ! Comme les personnages, les monstres sélectionnent eux aussi leurs actions quand c'est à eux de jouer. Pour voir ce que ce <color=#C53F3F><b>Bandit</b></color> vous réserve, il vous suffit de vous concentrer sur son portrait, en haut de l'écran.","Dieser Raum enthält deinen ersten Gegner, eine <color=#C53F3F><b>Banditenwache</b></color>! Wie Spielercharaktere wählen auch Monster Aktionen für ihren Zug aus - sehen wir mal, was dieser <color=#C53F3F><b>Bandit</b></color> in dieser Runde vorhat. Dazu fokussieren wir sein Bild im oberen Fenster.","En esta sala, se encuentra tu primer enemigo: ¡un <color=#C53F3F><b>guardia bandido</b></color>! Tal y como ocurre con los personajes jugadores, los monstruos también seleccionan acciones para su turno. Para saber qué pretende hacer este <color=#C53F3F><b>bandido</b></color> en esta ronda, centra tu atención en su retrato, en el panel superior."
Consoles/TUTORIAL_1_GRAB_AND_GO_FINISHED_MESSAGE,"Now that you've finished using <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Grab and Go</color></font></b></nobr> for the turn, it is <color=#FADC99><b>discarded</b></color> and no longer usable until you return it to hand via resting – more on that later.

For now, time to <color=#FADC99><b>Attack</b></color>!","Maintenant que vous avez fini d'utiliser <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Pas Vu, Pas Pris</color></font></b></nobr>, la carte est <color=#FADC99><b>défaussée</b></color> et restera inutilisable tant que vous ne l'aurez pas récupérée via un repos... Mais nous reviendrons sur ce point plus tard.

Pour l'heure, il est temps d'<color=#FADC99><b>attaquer</b></color> !","Nachdem du <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Schnelle Beute</color></font></b></nobr> für diesen Zug abgeschlossen hast, wird sie <color=#FADC99><b>abgeworfen</b></color> und kann erst wieder benutzt werden, wenn du sie durch Rasten zurück auf die Hand beförderst - dazu später mehr.

Jetzt kommen wir erst mal zum <color=#FADC99><b>Angriff</b></color>!","Ahora que has terminado de usar <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>A la saca</color></font></b></nobr> en este turno, se <color=#FADC99><b>descarta</b></color> y ya no podrás volverla a usar hasta que descanses y vuelva a tu mano; luego ahondaremos en eso.

De momento, ¡es hora de <color=#FADC99><b>atacar</b></color>!"
Consoles/TUTORIAL_1_HOVER_ENEMY_TITLE,Select the Bandit's portrait in the Initiative Tracker at the top of the screen,Sélectionnez le portrait du bandit dans le suivi de l'initiative en haut de l'écran,Wählen Sie das Porträt des Banditen im Initiative-Tracker oben auf dem Bildschirm aus,Seleccione el retrato de Bandit en el Rastreador de iniciativas en la parte superior de la pantalla
Consoles/TUTORIAL_1_HOVER_ENEMY_TITLE_CONTROLLER,Hover over the Bandit's portrait in the Initiative Tracker at the top of the screen,Placez le curseur sur le portrait du Bandit dans l'ordre des tours affiché en haut de l'écran,Fahre beim Initiative-Zähler oben am Bildschirm mit der Maus über das Bild des Banditen.,Pasa el cursor sobre el retrato del bandido en el marcador de iniciativa de la parte superior de la pantalla.
Consoles/TUTORIAL_1_INITIATIVE_INFO_MESSAGE,"See how the '<b>?</b>' next to the <color=#a06e4b><b>Brute</b></color>'s portrait at the top of the screen has changed into a number? This shows his <color=#FADC99><b>initiative</b></color>. 

The number next to the <color=#FADC99><b>first card you select</b></color> determines the character's <color=#FADC99><b>initiative</b></color> for the round. The lower the number, the earlier in the round the character will act.","Comme vous pouvez le voir, le « <b>?</b> » à côté du portrait de la <color=#a06e4b><b>Brute</b></color> en haut de l'écran a été remplacé par un nombre. Il s'agit de son <color=#FADC99><b>initiative</b></color>. 

Le nombre à côté de la première carte que vous sélectionnez détermine l'<color=#FADC99><b>initiative</b></color> du personnage pour le round. Plus ce nombre est faible, plus vite son tour arrivera.","Hast du bemerkt, dass das ""<b>?</b>"" neben dem Bild des <color=#a06e4b><b>Barbaren</b></color> oben auf dem Bildschirm zu einer Zahl geworden ist? Diese zeigt seine <color=#FADC99><b>Initiative</b></color>.

Die Zahl neben der ersten Karte, die du wählst, legt die <color=#FADC99><b>Initiative</b></color> des Charakters für die Runde fest. Je niedriger die Zahl, desto früher handelt der Charakter in der Runde.","¿Ves cómo el símbolo «<b>?</b>» que había junto al retrato del <color=#a06e4b><b>Salvaje</b></color>, en la parte superior de la pantalla, se ha convertido en un número? Esa cifra muestra su <color=#FADC99><b>iniciativa</b></color>.

El número que aparece junto a la primera carta que selecciones determina la <color=#FADC99><b>iniciativa</b></color> del personaje durante esa ronda. Cuanto más bajo sea el número, antes actuará dentro de la ronda."
Consoles/TUTORIAL_1_INITIATIVE_TURN_OF_MOVES_MESSAGE,"Notice how this <color=#C53F3F><b>Bandit</b></color> has a lower <color=#FADC99><b>initiative</b></color> than the <color=#a06e4b><b>Brute</b></color>, and would have acted before the <color=#a06e4b><b>Brute</b></color> this round had he been visible. 

As it is currently the <color=#a06e4b><b>Brute</b></color>’s turn however, you'll get to finish his turn before the <color=#C53F3F><b>Bandit</b></color> can act.","Notez que le <color=#C53F3F><b>Bandit</b></color> possède une <color=#FADC99><b>initiative</b></color> plus faible que celle de la <color=#a06e4b><b>Brute</b></color> et aurait donc agi en premier dans ce round si la <color=#a06e4b><b>Brute</b></color> avait été visible. 

Comme c'est maintenant au tour de la <color=#a06e4b><b>Brute</b></color>, vous allez pouvoir attaquer avant que le <color=#C53F3F><b>Bandit</b></color> puisse agir.","Beachte, dass dieser <color=#C53F3F><b>Bandit</b></color> eine niedrigere <color=#FADC99><b>Initiative</b></color> als der <color=#a06e4b><b>Barbar</b></color> hat und in dieser Runde vor dem <color=#a06e4b><b>Barbaren</b></color> gehandelt hätte, wenn er sichtbar gewesen wäre. 

Da aber jetzt gerade der <color=#a06e4b><b>Barbar</b></color> am Zug ist, kannst du seinen Zug beenden, bevor der <color=#C53F3F><b>Bandit</b></color> handeln kann.","Fíjate en que este <color=#C53F3F><b>bandido</b></color> tiene menos <color=#FADC99><b>iniciativa</b></color> que el <color=#a06e4b><b>Salvaje</b></color> y, por tanto, de haber sido visible, hubiese actuado antes que el <color=#a06e4b><b>Salvaje</b></color>.

Sin embargo, como este es el turno del <color=#a06e4b><b>Salvaje</b></color>, podrás terminar el turno antes de que el <color=#C53F3F><b>bandido</b></color> pueda actuar."
Consoles/TUTORIAL_1_MOVE_CLOSE_MESSAGE,"Let's get the <color=#a06e4b><b>Brute</b></color> close enough to use the <color=#FADC99><b>Attack</b></color> on <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Trample</color></font></b>'s</nobr> top half as the second <color=#FADC99><b>action</b></color> for the turn!","Rapprochons suffisamment la <color=#a06e4b><b>Brute</b></color> pour pouvoir utiliser l'<color=#FADC99><b>attaque</b></color> de la moitié supérieure de la carte <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Piétinement</color></font></b></nobr> comme seconde <color=#FADC99><b>action</b></color> pour le tour !","Bringen wir den <color=#a06e4b><b>Barbaren</b></color> nahe genug heran, dass er den <color=#FADC99><b>Angriff</b></color> auf der oberen Hälfte von <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Trampeln</color></font></b></nobr> als zweite <color=#FADC99><b>Aktion</b></color> in diesem Zug benutzen kann!","¡Acércate al <color=#a06e4b><b>Salvaje</b></color> lo suficiente como para usar el <color=#FADC99><b>ataque</b></color> de la mitad superior de <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Pisotear</color></font></b></nobr> como tu segunda <color=#FADC99><b>acción</b></color> de este turno!"
Consoles/TUTORIAL_1_MOVE_INFO_MESSAGE,"There's nothing for the <color=#a06e4b><b>Brute</b></color> to do in this room, so you'll want to proceed through the door to see what lies beyond with a <color=#FADC99><b>Move</b></color> ability. 

<nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Grab and Go</color></font></b>'s</nobr> bottom half lets the <color=#a06e4b><b>Brute</b></color> move four hexes, which is enough to get through the door. Let's use that!","La <color=#a06e4b><b>Brute</b></color> n'a rien à faire dans cette salle, alors, passez la porte pour découvrir ce qui vous attend derrière grâce à la capacité <color=#FADC99><b>Déplacement</b></color>. 

L'action inférieure de <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Pas Vu, Pas Pris</color></font></b></nobr> permet à la <color=#a06e4b><b>Brute</b></color> d'avancer de quatre hexagones, ce qui est suffisant pour atteindre la porte. Allez-y !","In diesem Raum gibt es für den <color=#a06e4b><b>Barbaren</b></color> nichts zu tun, also geh mit einer <color=#FADC99><b>Bewegungsfertigkeit</b></color> durch die Tür und sieh nach, was dich dahinter erwartet.

Die untere Hälfte von <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Schnelle Beute</color></font></b></nobr> lässt den <color=#a06e4b><b>Barbaren</b></color> vier Felder weitergehen, das reicht, um durch die Tür zu gelangen. Nehmen wir das!","No hay nada que pueda hacer el <color=#a06e4b><b>Salvaje</b></color> en esta sala, así que te interesa usar una capacidad de <color=#FADC99><b>Movimiento</b></color> para atravesar la puerta y ver qué hay al otro lado.

La mitad inferior de <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>A la saca</color></font></b></nobr> permite que el <color=#a06e4b><b>Salvaje</b></color> se mueva cuatro hexágonos, lo cual es suficiente para atravesar la puerta. ¡Vamos a probarlo!"
Consoles/TUTORIAL_1_SELECT_BANDIX_HEX_TITLE,Select the Bandit Guard as the target for the attack,Sélectionnez le Garde Bandit comme cible de l'attaque,Wähle die Banditenwache als Ziel für den Angriff.,Selecciona al guardia bandido como objetivo del ataque.
Consoles/TUTORIAL_1_SELECT_BOTTOM_AND_TOP_ACTION_MESSAGE,"...or the bottom half of <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Trample</color></font></b></nobr> and the top half of <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Grab and Go</color></font></b></nobr>.","... ou inversement, l'action inférieure de la carte <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Piétinement</color></font></b></nobr> et l'action supérieure de la carte <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Pas Vu, Pas Pris</color></font></b></nobr>.","... oder die untere Hälfte von <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Trampeln</color></font></b></nobr> und die obere Hälfte von <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Schnelle Beute</color></font></b></nobr>.","O bien la mitad inferior de <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>Pisotear</color></font></b></nobr> y la mitad superior de <nobr><b><font=""MarcellusAlt SDF""><color=#f5e3b0>A la saca</color></font></b></nobr>."
