Key,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl],
EVENT_ROAD_JOTL_19_RESULT_B,The messenger eventually leaves looking even more confused than when he entered.,"Le messager finit par s'en aller, l'air encore plus perdu que quand il est entré.",Der Bote verlässt die Schenke und wirkt noch verlorener als zuvor.,"El mensajero al fin se marcha, con aspecto aún más confundido que cuando entró.","Posłaniec ostatecznie wychodzi, wyglądając na jeszcze bardziej zdezorientowanego niż wcześniej.",
EVENT_ROAD_JOTL_20_INTRO,"You are enjoying a lunch of unidentifiable meat purchased from a Quatryl street vendor on the Silent Bridge when you run across a curious poster. It advertises there will be a large fighting competition in Gloomhaven Square in a matter of days.

At first, you discount it as not something worth your time, but perhaps you could be interested, if you have something to prove.","Vous savourez en marchand un délicieux déjeuner à base d'une viande inconnue que vous avez acheté à un vendeur de rue du Pont Silencieux lorsque vous découvrez une étrange affiche. Apparemment, une compétition de combat doit se tenir sur la place de Havrenuit d'ici quelques jours.
  
  De prime abord, vous vous dites que ce ne serait qu'une perte de temps, mais finalement, qui sait si cela ne pourrait pas s'avérer intéressant, si vous avez quelque chose à prouver ?","Ihr lasst euch eine Mahlzeit aus undefinierbarem Fleisch schmecken, die ihr von einem Quatryl-Straßenverkäufer auf der Stillbrücke gekauft habt, als euch ein interessanter Aushang auffällt. Er preist einen großen Kampfwettbewerb an, der in wenigen Tagen auf dem Gloomhaven-Platz stattfinden soll.
  
  Ihr haltet das zunächst für Zeitverschwendung, aber vielleicht wäre es ja doch ganz interessant, allen euer Können zu beweisen.","Estáis disfrutando de un almuerzo de carne misteriosa que comprasteis a un vendedor quatryl ambulante en el Puente Silencioso cuando os topáis con un curioso cartel. Anuncia que dentro de unos días habrá una gran competición de lucha en la Plaza de Gloomhaven.
  
  Al principio, pensáis que no va a valer la pena, pero tal vez podría interesaros, si es que tenéis algo que demostrar.","Rozkoszujecie się posiłkiem, który składa się z bliżej niezidentyfikowanego mięsa zakupionego na ulicznym straganie Kwatryli przy Milczącym Moście, gdy zauważacie ciekawy plakat. To zapowiedź wielkich zawodów sportów walki, które odbędą się za kilka dni na Rynku Gloomhaven.

Początkowo uznajecie, że nie jest to warte waszego czasu, ale w sumie dla jednego z was może być to całkiem interesujące wyzwanie.",
EVENT_ROAD_JOTL_20_OPTION_A,Sign up for the competition.,Vous inscrire au concours.,Meldet euch für den Wettbewerb an.,Os inscribís en la competición.,Zapisujecie się do zawodów.,
EVENT_ROAD_JOTL_20_OPTION_B,Ignore the poster and continue enjoying your lunch.,Finir votre déjeuner sans vous préoccuper de l'affiche.,Ignoriert den Aushang und genießt eure Mahlzeit.,Hacéis caso omiso del cartel y seguís disfrutando del almuerzo.,Ignorujecie plakat i idziecie dalej delektując się jedzeniem.,
EVENT_ROAD_JOTL_20_RESULT_A,"The Hatchet is very eager to join the competition and prove they are the greatest fighter, and so you oblige. It is an individual competition, though, so the rest of you will have to cheer from the sidelines.","Le Lanceur de haches a envie de participer à la compétition afin de montrer qu'il est le meilleur. Mais comme il s'agit d'un concours individuel, les autres membres du groupe vont devoir se contenter de l'encourager depuis les tribunes.","Der Axtwerfer will unbedingt beweisen, dass er der beste Kämpfer überhaupt ist, und ihr lasst euch von seinem Enthusiasmus anstecken. Es ist jedoch ein Einzelwettbewerb, deshalb muss sich der Rest von euch damit begnügen, ihn von den Zuschauerrängen aus anzufeuern.","El Ejecutor está ansioso por unirse a la competición y demostrar que es el mejor guerrero, así que le dais ese capricho. Sin embargo, se trata de una competición individual, así que el resto de la cuadrilla tendrá que animarlo desde el público.","Topór z wielką chęcią weźmie udział w zawodach i udowodni, że jest najlepszym wojownikiem, więc przystajecie na ten pomysł. Są to jednak zawody indywidualne, więc reszta będzie musiała dopingować z trybun.",
EVENT_ROAD_JOTL_20_RESULT_B,"The meat is very enjoyable, though it does result in some stomach pains an hour or so later.","Le déjeuner est vraiment délicieux, mais cette viande inconnue vous cause de terribles crampes d'estomac une heure plus tard. Qu'est-ce que ça pouvait bien être ?","Das Fleisch schmeckt köstlich, doch eine gute Stunde später habt ihr Magenschmerzen.","La carne está buenísima, pero empezáis a sufrir retortijones un par de horas más tarde.","Mięso jest bardzo smaczne, choć po paru godzinach macie małe sensacje żołądkowe.",
EVENT_ROAD_JOTL_21_INTRO,"Your purse is quite empty after a bad night of gambling at the Sleeping Lion. You are contemplating how best to cheat without getting caught when an intense negative feeling washes over you.

At first, you assume it is guilt, but you have your suspicions that it could be something far worse. You try to focus on the game, but something terrible keeps nagging at you.","Vous avez la bourse bien vide après une soirée passée à jouer (et surtout à perdre) au Lion Assoupi. Vous vous demandez comment parvenir à tricher sans vous faire prendre quand un intense sentiment négatif vous submerge.
  
  De prime abord, vous pensez qu'il s'agit de culpabilité, mais à la réflexion, vous vous demandez si ce n'est pas quelque chose de bien pire. Vous tentez de vous concentrer sur le jeu, mais cette désagréable impression refuse de disparaître.","Nachdem ihr im Schlafenden Löwen eine Menge Gold verspielt habt, ist eure Börse erschreckend leer. Ihr überlegt, wie ihr am besten schummeln könnt, ohne erwischt zu werden, als euch plötzlich ein ganz mieses Gefühl überkommt.
  
  Zuerst meint ihr, es wäre nur das schlechte Gewissen, doch dann fürchtet ihr, dass es etwas Schlimmeres sein könnte. Ihr versucht, euch auf das Spiel zu konzentrieren, aber das quälende Gefühl bleibt.","Tras una mala noche de juego en el León Durmiente, vuestras bolsas pesan bastante menos. Estáis pensando en la mejor manera de hacer trampa sin que os pillen cuando una intensa sensación negativa os invade.
  
  Al principio, pensáis que es sentimiento de culpa, pero sospecháis que podría tratarse de algo mucho peor. Os esforzáis por concentraros en el juego, pero una sensación terrible os sigue atenazando.","Po pechowej nocy spędzonej na hazardzie Pod Śpiącym Lwem wasze sakiewki są w zasadzie puste. Zastanawiacie się właśnie nad tym, jak by tu bez konsekwencji oszukiwać, gdy nagle ogarnia was niezwykle nieprzyjemne doznanie.

Początkowo sądzicie, że to poczucie winy, ale dochodzicie do wniosku, że to coś znacznie gorszego. Próbujecie się skupić na grze, ale nieprzyjemne wrażenie nie znika.",
EVENT_ROAD_JOTL_21_OPTION_A,Attempt to find the root of the negative energy.,Tenter de comprendre d'où provient cette énergie négative.,Findet die Quelle der negativen Energie.,Intentáis encontrar el origen de la energía negativa.,Próbujecie znaleźć źródło negatywnej energii.,
EVENT_ROAD_JOTL_21_OPTION_B,Shake the nagging feeling and concentrate on the game.,Vous concentrer sur le jeu. Vous vous faites manifestement des idées.,Ignoriert das quälende Gefühl und konzentriert euch auf das Spiel.,Os sacudís la fastidiosa sensación y os concentráis en el juego.,Ignorujecie nieprzyjemne doznanie i koncentrujecie się na grze.,
EVENT_ROAD_JOTL_21_RESULT_A,"The Voidwarden exits the Sleeping Lion and holds a hand up to the sky. Very quickly, they turn to the rest of the group with a panicked expression. The Voidwarden warns that something is wrong with the Void. Whatever rests inside it is stirring, and something terrible is coming as a result.","La Gardienne du Néant sort du Lion Assoupi et tend la main vers le ciel. Puis, au bout de quelques instants, elle se tourne vers le reste de la compagnie, manifestement paniquée. Elle vous explique qu'il y a un problème au niveau du Néant. Ce qui se trouve à l'intérieur est en train de se réveiller, et quelque chose de terrible se prépare.","Die Leerehüterin verlässt den Schlafenden Löwen und reckt eine Hand in die Luft. Kurz darauf dreht sie sich mit panischem Blick zum Rest der Gruppe um. Die Leerehüterin erklärt, dass irgendetwas mit der Leere nicht stimmt. Was auch immer sich darin befindet, ist erwacht und wird großes Unheil bringen.","La Centinela del Vacío sale del León Durmiente y alza una mano hacia el cielo. De inmediato, se gira para mirar al resto del grupo con cara de pánico. Os advierte de que algo grave está ocurriendo en el Vacío. Lo que sea que descanse dentro de él está despertando y algo terrible acecha como resultado.","Pustkowicielka wychodzi z karczmy i unosi dłoń ku niebu. Po chwili obraca się do reszty grupy z wyrazem paniki na twarzy. Ostrzega, że coś złego dzieje się w Pustce. Cokolwiek tam spoczywa, zaczęło się budzić, co może doprowadzić do prawdziwej tragedii.",
EVENT_ROAD_JOTL_21_RESULT_B,"Eventually, your luck turns, and you are at least able to recover your lost money. You suppose the feeling wasn't so negative after all.","À force de persévérance, la chance finit enfin par tourner. Même si vous ne repartez pas avec des gains, vous récupérez au moins vos pertes. Finalement, votre intuition ne devait pas être si mauvaise que ça.",Ihr könnt das Blatt endlich wenden und zumindest eure verspielten Ersparnisse zurückgewinnen. So schlimm kann das Gefühl wohl doch nicht gewesen sein.,"Al rato, vuestra suerte cambia, y sois capaces al menos de recuperar lo que habíais perdido. Suponéis que la sensación no era tan mala después de todo.",W końcu wasze szczęście wraca i możecie przynajmniej odzyskać stracone pieniądze. To dziwne wrażenie chyba nie było tak do końca negatywne.,
EVENT_ROAD_JOTL_22_INTRO,"You are having a nice stroll through the New Market, perusing incredibly expensive wares you could never afford, when you spot a gruff looking man wading through the crowd. He seems out of place.

If you had to guess, you'd say he was some sort of carpenter. As he approaches, you get the feeling that you know him, but you can't quite figure out why.","Alors que vous vous promenez tranquillement entre les étals du Nouveau Marché, contemplant des marchandises hors de prix que vous ne pourrez jamais vous offrir, vous remarquez un homme bourru fendant la foule. Il n'a pas du tout l'air à sa place en cet endroit.
  
  Si vous deviez deviner, vous diriez qu'il est charpentier. Il approche de vous et vous avez l'impression de le reconnaître, mais vous ne parvenez pas à mettre un nom sur son visage.","Ihr bummelt über den Neumarkt und bewundert unfassbar teure Waren, die ihr euch nie leisten könntet, als euch ein grimmig aussehender Mann in der Menge auffällt. Er passt einfach nicht hier rein.
  
  Ihr vermutet, dass es sich um einen Tischler handelt. Als er auf euch zugeht, überkommt euch das Gefühl, ihn zu kennen, ihr wisst nur nicht woher.","Estáis dando un agradable paseo por el Mercado Nuevo, examinando productos increíblemente caros que nunca os podréis permitir, cuando veis a un hombre con aspecto hosco que se abre camino entre la multitud. Parece estar fuera de lugar.
  
  Si tuvierais que adivinarlo, diríais que es una especie de carpintero. Cuando se acerca, tenéis la sensación de que lo conocéis, pero no recordáis por qué.","Spacerujecie po Nowym Rynku, podziwiając niezwykle drogie towary, na które was zdecydowanie nie stać, gdy zauważacie szorstko wyglądającego mężczyznę przepychającego się przez tłum. Zdecydowanie nie pasuje do tego miejsca.

Gdybyście musieli zgadywać, obstawilibyście, że jest chyba stolarzem. Gdy się zbliża, macie wrażenie, że chyba już go widzieliście, ale nie wiecie gdzie.",
EVENT_ROAD_JOTL_22_OPTION_A,Greet the man.,Saluer l'homme.,Begrüßt den Mann.,Saludáis al hombre.,Pozdrawiacie mężczyznę.,
EVENT_ROAD_JOTL_22_OPTION_B,Ignore the feeling and carry on with your business.,Ignorer votre première impression et ne plus vous préoccuper de lui.,Ignoriert das Gefühl und geht einfach weiter.,Ignoráis la sensación y seguís con vuestros asuntos.,Ignorujecie mężczyznę i wracacie do swoich spraw.,
EVENT_ROAD_JOTL_22_RESULT_A,"The man's face lights up as you approach. You recognize him as the Demolitionist's old boss. It turns out he's actually glad to have run across you, as he has a job that you may be uniquely suited for. He has a building in the Coin District that needs to be demolished. A wealthy merchant bought the property out from under someone else to expand his own estate. The trouble is that the previous owner is said to have cursed it in a fit of rage. Destroying it may be tricky.","Le visage de l'homme s'illumine à votre approche. De plus près, vous le reconnaissez : c'est l'ancien patron de l'Artificier. Il est extrêmement heureux de vous croiser, car il s'avère qu'il a un travail pour vous. Il y a, dans le Quartier de la Monnaie, un bâtiment devant être démoli. Un riche marchand l'a acheté pour étendre les limites de sa propriété, mais il semblerait que l'ancien maître des lieux l'ait maudit dans une crise de rage. Le détruire ne sera sans doute pas simple.","Das Gesicht des Mannes erhellt sich, als ihr euch nähert. Es ist der ehemalige Chef der Sprengmeisterin. Wie sich herausstellt, ist er froh, euch zu begegnen, denn er hat einen Auftrag, für den ihr euch besonders eignet. Er soll ein Gebäude im Münzviertel abreißen. Ein wohlhabender Händler hat dem Vorbesitzer das Grundstück abgeluchst, um sein Anwesen zu erweitern. Das Problem ist, dass der Vorbesitzer es vor lauter Wut verflucht haben soll. Der Abriss könnte also schwierig werden.","La cara del hombre se ilumina cuando os acercáis. Lo reconocéis como el antiguo jefe de la Demoledora. Resulta que se alegra de haberos encontrado, ya que tiene un trabajo perfecto para ella. Hay que demoler un edificio en el Barrio de la Moneda. Un rico comerciante compró la propiedad a otra persona para expandir su propio patrimonio. El problema es que se rumorea que el anterior dueño lo maldijo en un ataque de ira.
  
  Destruirlo podría resultar difícil.","Kiedy się zbliżacie, twarz mężczyzny rozjaśnia się w uśmiechu. Poznajecie, że to dawny szef Wyburzyciela. Bardzo cieszy się z waszego spotkania, ponieważ — jak się okazuje — ma pracę wręcz stworzoną dla was. W Dzielnicy Monet znajduje się budynek, który musi zostać wyburzony. Wykupił go pewien bogaty kupiec, aby rozbudować swoją posiadłość. Sęk w tym, że poprzedni właściciel, wściekły z gniewu, nałożył klątwę na budowlę. Jej wyburzenie może okazać się dość problematyczne.",
EVENT_ROAD_JOTL_22_RESULT_B,"After a little more walking, you find a truly amazing tapestry embroidered with a great battle scene between humans and Valraths, said to be recovered from an ancient storehouse in Demonsgate. It is worth more money than you've spent in your entire life.","Poursuivant votre promenade entre les étals, vous finissez par découvrir une incroyable tapisserie brodée montrant une terrible bataille entre humains et Valraths. Elle aurait été retrouvée dans un ancien entrepôt de La Porte-des-Démons, et elle vaut clairement plus d'argent que vous n'en gagnerez de toute votre vie.","Ein paar Schritte weiter springt euch ein wahrhaft malerischer Teppich mit einer umwerfenden Schlachtszene zwischen Menschen und Valrathi ins Auge, der aus einem uralten Lagerhaus in Dämonentor stammen soll. Er ist mehr Gold wert, als ihr in eurem gesamten Leben verdienen könnt.","Después de caminar un poco más, encontráis un tapiz verdaderamente asombroso que tiene bordada una épica escena de batalla entre los humanos y valrath. Os cuentan que lo recuperaron de un antiguo almacén en Puerta Demoníaca. Vale más dinero del que habéis gastado en toda vuestra vida.","Parę kroków dalej znajdujecie absolutnie zachwycający kobierzec przedstawiający wspaniałą scenę bitwy pomiędzy ludźmi i Valratami. Ponoć wydobyto go ze starego magazynu w Bramie Demonów. Jest wart więcej pieniędzy, niż zarobiliście przez całe życie.",
Quest_JOTL_001_RoadsideAmbush_NAME,Roadside Ambush,Embuscade au Bord de la Route,Straßenraub,Emboscada en el camino,Zasadzka przy drodze,
Quest_JOTL_001_RoadsideAmbush_DESC,A local Blacksmith's wife wants information on where he could be.,La femme d'un forgeron local aimerait savoir où se trouve son mari.,Die Frau eines ortsansässigen Schmiedes ist auf der Suche nach ihrem Mann.,La esposa de un herrero quiere averiguar el paradero de su marido.,Żona miejscowego kowala poszukuje informacji o miejscu jego pobytu.,
Quest_JOTL_001_RoadsideAmbush_LIST,Investigate a missing Blacksmith,Enquêtez sur la disparition du forgeron,Sucht einen verschollenen Schmied.,Investiga la desaparición de un herrero.,Zbadajcie sprawę zaginionego kowala,
Quest_JOTL_001_RoadsideAmbush_INTRO_GH_1,"A new day and while nursing a hell of hangover, you drag yourselves out of bed to meet a local Blacksmith's wife, Sandy, who has managed to somehow scrape enough money together to hire you to find her husband. You're not sure where the money came from, but, no matter the source, it couldn't have come easy. Soon afterwards you prepare to head out of the city to the Still River to investigate.","Vous vous réveillez avec une terrible migraine, mais vous vous forcez tout de même à vous lever pour rencontrer Sandy, la femme d'un forgeron local, qui a réussi à économiser suffisamment pour vous demander de retrouver son mari, qui a disparu. Vous ignorez d'où provient l'argent, mais une chose est sûre, il n'a pas dû être facile pour elle de réunir une telle somme. Dès la fin de votre entrevue, vous vous préparez à partir en direction de la Rivière Calme, où il a été aperçu pour la dernière fois.","Früh morgens wälzt ihr euch mit einem grässlichen Kater aus dem Bett, um euch mit der Frau eines ortsansässigen Schmiedes namens Sandy zu treffen, die irgendwie genug Geld zusammengekratzt hat, um euch mit der Suche nach ihrem Gatten zu betrauen. Ihr wisst zwar nicht, woher das Geld stammt, aber es war bestimmt nicht einfach zusammenzubekommen. Kurz darauf verlasst ihr die Stadt in Richtung des Flüsterflusses, um der Sache nachzugehen.","Recibís el nuevo día con una resaca de mil demonios, pero conseguís bajar a rastras de la cama para reuniros con Sandy, la esposa de un herrero de la ciudad, que, de alguna manera, ha logrado reunir el dinero suficiente y quiere encargaros que encontréis a su marido. No estáis seguros de dónde ha sacado el oro, pero no puede haber sido fácil obtenerlo. Sea como sea, os disponéis enseguida a salir de la ciudad rumbo a Aguasmansas para investigar.","Nastaje nowy dzień i choć męczy was potężny kac, wygrzebujecie się jakoś z łóżek i ruszacie na spotkanie żony miejscowego kowala, Sandy. Zdołała jakoś zebrać dość pieniędzy, żeby nająć was do poszukiwania jej męża. Nie jesteście pewni, skąd wzięła takie fundusze, ale na pewno przyszło jej to z trudem. Niedługo potem przygotowujecie się do wyjścia z miasta i ruszenia wzdłuż Martwej Rzeki, aby zbadać sprawę.",
Quest_JOTL_001_RoadsideAmbush_INTRO_GH_2,"True, Sandy was a little light on the payment, but you are one of the most well-known mercenary groups in this back-water dump of a town. Surely, it can't hurt to take a charity case every once in a while. Getting good jobs is about maintaining a reputation, after all. Which is why you really need to get to the bottom of this and not return to the widow with nothing but the calluses on your feet.","Sandy ne vous a pas tout à fait versé la somme que vous espériez, mais vous êtes l'une des compagnies de mercenaires les plus connues de cette ville, et accepter une telle affaire de temps en temps ne peut pas nuire à votre image, bien au contraire. Et vous avez appris qu'avoir une bonne réputation était vital pour trouver du travail. C'est pour cette raison que vous devez découvrir le fin mot de cette histoire, et non retourner voir la pauvre veuve les mains vides.","Natürlich konnte Sandy euch keine großen Reichtümer in die Hand drücken, aber ihr seid eine der bekanntesten Söldnergruppen in dieser verschlafenen Stadt. Es kann nicht schaden, sich hin und wieder wohltätig zu zeigen. Denn je besser euer Ruf ist, desto besser werden die Aufträge. Deshalb wollt ihr der Sache unbedingt auf den Grund gehen, anstatt mit leeren Händen zur Witwe des Schmieds zurückzukehren.","Si bien Sandy se ha quedado un poco corta con el pago, sois uno de los grupos de mercenarios más conocidos en este vertedero de ciudad. No pasa nada por aceptar un encargo altruista de vez en cuando. Para conseguir buenos trabajos, hay que cuidar la reputación. Por eso debéis llegar al fondo de esto y no volver ante la viuda con las manos vacías y callos en los pies.","Co prawda Sandy miała problem z wypłacalnością, ale w końcu jesteście „Szczękami Lwa”, jedną z najbardziej znanych grup najemników w tym parszywym mieście. Nie zaszkodzi od czasu do czasu zająć się pracą charytatywną. W końcu żeby otrzymać dobre zlecenia, trzeba mieć odpowiednią reputację. I właśnie dlatego musicie rozwikłać tę zagadkę, a nie wracać do wdowy nie przynosząc niczego oprócz odcisków na stopach.",
Quest_JOTL_001_RoadsideAmbush_INTRO_GH_3,"Also, you probably shouldn't call her a widow to her face, at least not until the fate of the blacksmith has been confirmed.

Given, however, that none of those who disappeared have returned, the outlook is grim.","Tant qu'à faire, il vaut sans doute mieux éviter de prononcer le mot « veuve » en sa présence, du moins, tant que la mort de son mari n'a pas été confirmée.
  
  Mais comme aucun des récents disparus n'a jamais reparu, les chances de le retrouver vivant vous semblent extrêmement faibles.","Und ihr solltet sie wohl lieber nicht als Witwe bezeichnen, solange das Schicksal des Schmieds noch unklar ist.
  
  Da jedoch noch bisher keiner der Vermissten wieder aufgetaucht ist, sind die Aussichten düster.","Por lo demás, probablemente no deberíais llamarla viuda a la cara, al menos hasta que hayáis averiguado la suerte que corrió de verdad el herrero.
  
  Pero teniendo en cuenta que ninguno de los desaparecidos ha regresado, las perspectivas no son muy halagüeñas.","W sumie to nie powinniście chyba mówić do niej per wdowa. Los kowala nie został przecież potwierdzony.

Biorąc jednak pod uwagę fakt, że żadna zaginiona osoba nie wróciła, widoki są raczej marne.",
Quest_JOTL_001_RoadsideAmbush_INTRO_TRAVEL_1,"Not long after you pass through one of Gloomhaven's many city gates, you notice movement up ahead and immediately draw your weapon. The sun has dipped low in the sky, reducing visibility, but you can clearly see some ramshackle wooden barricades blocking the road in front of you. And, sure enough, as you cautiously approach the scene, Vermlings jump out from behind the obstructions, flashing crude swords and sharp sticks","Peu de temps après être sortis de Havrenuit par l'une des nombreuses portes de la cité, vous remarquez du mouvement droit devant et sortez vos armes. Le soleil est presque couché, ce qui réduit la visibilité, mais vous distinguez clairement des barricades en bois bloquant la route. Sans surprise, alors que vous approchez prudemment, plusieurs Vermlings se dévoilent, armés d'épées grossières et de bâtons pointus.","Kurz nachdem ihr eines der zahlreichen Stadttore von Gloomhaven durchquert habt, seht ihr vor euch etwas und zieht sofort die Waffen. Die Sonne steht tief am Himmel und wirft lange Schatten, aber ihr könnt deutlich einige grobe Holzbarrikaden sehen, die euch die Straße versperren. Und tatsächlich, als ihr euch vorsichtig nähert, springen Ratzen hinter den Barrikaden hervor, bewaffnet mit einfachen Schwertern und angespitzten Stöcken.","Al poco de atravesar una de las numerosas puertas de la ciudad de Gloomhaven, observáis movimiento más adelante y desenfundáis inmediatamente vuestras armas. El sol está ya muy bajo en el horizonte y la visibilidad es escasa, pero veis claramente unas destartaladas barricadas de madera que bloquean el camino justo delante. Como era de esperar, cuando os acercáis cautelosamente a la escena, unos infestores surgen de detrás de los obstáculos empuñando burdas espadas y palos afilados.","Kiedy przez głowę przechodzą wam te radosne myśli, zauważacie przed sobą jakiś ruch i natychmiast dobywacie broni. Słońce wisi już nisko na nieboskłonie i robi się powoli ciemno, ale wyraźnie widzicie, że drogę blokują wam jakieś rozklekotane barykady. I, czego można się było domyślić, gdy tylko podchodzicie bliżej, zza przeszkód wyskakują szczuroki dzierżące prymitywne miecze i ostre kije.",
Quest_JOTL_001_RoadsideAmbush_INTRO_TRAVEL_2,"You have to admit, you are quite tired from being up rather late in the inn yesterday, but still, these over-sized rats certainly picked the wrong group of travelers to ambush today. This is your job after all, and are always ready to show there is only one outcome for anyone who dares threaten you.","Vous êtes encore fatigués, la faute à une soirée trop arrosée la veille, mais ces hommes-rats ont clairement choisi le mauvais groupe de voyageurs à attaquer. Vous avez été payés pour faire un travail, et ceux qui osent vous menacer doivent en payer le prix.","Ihr seid zwar erschöpft von der gestrigen langen Nacht in der Schenke, aber trotzdem hat sich dieses Ungeziefer für den Überfall eindeutig die falsche Reisegruppe ausgesucht. Denn für jeden, der sich mit euch anlegt, kann es nur ein Ende geben.","Estáis bastante cansados después de haber trasnochado en la posada, pero estas ratas grandullonas han elegido al grupo de viajeros equivocado al que tender una emboscada. Este es vuestro trabajo y siempre estáis listos para demostrar que solo hay un resultado posible cuando alguien osa amenazaros.","Musicie przyznać, że jesteście dość zmęczeni całodzienną podróżą, ale te przerośnięte gryzonie wybrały sobie zły cel zasadzki. W końcu jesteście „Szczękami Lwa” i zawsze jesteście gotowi pokazać, co czeka tych, którzy ośmielą się wam grozić.",
Quest_JOTL_001_RoadsideAmbush_INTRO,"Getting attacked by Vermlings when all you wanted to do was to stay in with a warm meal and a soft bed, well, it makes you mad. Mad enough to kill these mangy creatures before you collapse from exhaustion.

Of course, the Vermlings have other plans. They gibber about wanting your coin and the meat on your bones. Nasty things, really. Best to ignore their ranting and end this quickly.","Vous faire attaquer par des Vermlings alors que tout ce que vous vouliez était de rester au chaud avec un bon plateau-repas vous rend fous de rage, et vous vous sentez d'humeur à massacrer ces créatures avant de tomber d'épuisement.
  
  Bien évidemment, ces Vermlings ont d'autres plans, à les entendre évoquer l'argent qu'ils vont vous voler et la façon dont ils vont vous dévorer. Mieux vaut en finir au plus vite.","Es macht euch wütend, von Ratzen angegriffen zu werden, während ihr euch nur nach einer warmen Mahlzeit und einem weichen Bett sehnt. Wütend genug, um diese räudigen Biester umzubringen, bevor ihr vor Erschöpfung zusammenbrecht.
  
  Natürlich haben die Ratzen andere Pläne. Sie prahlen damit, euch auszurauben und zu fressen. Wirklich scheußliche Kreaturen. Am besten beendet ihr die Sache schnell.","Aunque no lleváis mucho tiempo en camino, el hecho de tener que véroslas con esta emboscada de infestores cuando lo único que os apetece es una comida caliente y una cama cómoda, os ha puesto de muy mal humor; lo bastante como para matar a estas bestias sarnosas antes de que os derrumbéis por el agotamiento.
  
  Por supuesto, los infestores tienen otros planes. Balbucean algo sobre que quieren vuestro oro y la carne de vuestros huesos. Qué seres más desagradables. Lo mejor será ignorar sus desvaríos y terminar con esto rápidamente.","Pragniecie jedynie ciepłego posiłku i miękkiego posłania, więc gdy zostajecie zaatakowani przez bandę szczuroków, ogarnia was wściekłość. I to tak wielka, że postanawiacie zabić te parszywe stwory, zanim padniecie z wyczerpania.

Oczywiście szczuroki mają inne plany. Skowyczą, że chcą waszych pieniędzy oraz mięsa z waszych ciał. Zaprawdę, ohydne stworzenia. Najlepiej nie zważać na ich krzyki i szybko to zakończyć.",
Quest_JOTL_001_RoadsideAmbush_OUTRO_TRAVEL_1,"You wipe the blood of the last Vermling from your face, and your thoughts return to the Sleeping Lion. Surely, they've got a stew ready by now. It would be so perfectly warm and soothing, and it's right through that gate - so close, you can already taste it...","Tandis que vous essuyez le sang de Vermling dont votre visage est maculé, votre esprit vagabonde vers le Lion Assoupi. Un ragoût doit être en train de mitonner à la cuisine, à l'heure qu'il est. Le seul fait d'y penser vous met l'eau à la bouche. Et vous êtes tout près, en plus. Il vous suffirait de faire demi-tour et de retourner en ville...",Ihr wischt euch das Blut der letzten Ratze aus dem Gesicht und denkt sehnsüchtig an den Schlafenden Löwen. In der Gaststube köchelt bestimmt ein guter Eintopf vor sich hin. Warm und sättigend und gleich hinter diesem Tor ... Ihr könnt seinen wunderbaren Duft schon fast riechen.,"Os limpiáis la sangre del último infestor de la cara y vuestros pensamientos vuelven al León Durmiente. Seguro que ya tienen algún guiso preparado. Será tan caliente y reconfortante, y os espera justo al otro lado de esas puertas, tan cerca que ya casi podéis saborearlo...","Ścieracie z twarzy krew ostatniego szczuroka i wracacie myślami do karczmy Pod Śpiącym Lwem. Na pewno mają już gotowy gulasz. Taki ciepły, taki sycący. I jest tuż za bramą — tak blisko, że praktycznie czujecie już jego smak...",
Quest_JOTL_001_RoadsideAmbush_OUTRO_TRAVEL_2,"But then, another thought comes. It is highly unusual - brazen, really - for a pack of Vermlings to operate this close to the city. Could they be behind the string of disappearances?","Mais à cet instant, une autre idée vous vient. Il est hautement inhabituel pour une bande de Vermlings de venir traîner si près des murs de la cité. Se pourrait-il que ces créatures soient responsables des récentes disparitions ?","Aber dann kommt euch ein anderer Gedanke. Es ist äußerst ungewöhnlich - sogar ziemlich unverfroren -, dass ein Ratzenrudel so nah an der Stadt einen Hinterhalt legt. Könnten diese Ratzen hinter den Vermisstenfällen stecken?","Pero entonces, otro pensamiento os asalta. Es muy inusual, en realidad, que una manada de infestores opere tan cerca de la ciudad. ¿Podrían estar detrás de aquella serie de desapariciones?","Ale wtedy przychodzi kolejna myśl. To bardzo dziwne, wręcz niezwykłe, żeby banda szczuroków znajdowała się tak blisko miasta. Czy to one są odpowiedzialne za serię zniknięć?",
