Keys,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl]
Scenario_SOLO_Nightshroud_HarvestingTheNight_Success_1,"With enough souls of the night drawn into your flask, you quickly step back into your own plane before the remainder of the demons have a chance to get the upper hand and attack you in your weakened state.","Après avoir capturé suffisamment d'esprits de la nuit dans votre fiole, vous retournez au plus vite vers votre propre monde, avant que les démons restants ne puissent prendre le dessus et profiter de votre faiblesse pour vous attaquer.","Als du genügend Seelen der Nacht in deine Flasche gesperrt hast, kehrst du rasch in deine eigene Ebene zurück, bevor der Rest der Dämonen die Chance hat, deine Erschöpfung auszunutzen.","Con suficientes almas de la noche en el matraz, regresas rápidamente a tu propio plano antes de que el resto de los demonios tenga oportunidad de sacarte ventaja y atacarte cuando estés debilitado.","W swoim flakonie masz wystarczająco dusz nocy, więc szybko wracasz do swego wymiaru, zanim pozostałe demony zdobędą przewagę i zaatakują cię, gdy jesteś osłabiony."
Scenario_SOLO_Nightshroud_HarvestingTheNight_Success_2,"That is what being an assassin is all about, after all. Striking when you have the advantage and then retreating back into the shadows when the job is done",Car n'est-ce pas là l'art de l'assassin ? Frapper quand vous avez l'avantage et vous replier dans l'ombre une fois le travail terminé.,"So macht es der Attentäter: Zuschlagen, wenn er im Vorteil ist, und mit den Schatten verschmelzen, wenn die Arbeit getan ist.","Después de todo, en eso consiste ser un asesino: golpear cuando tienes la ventaja y retirarte a las sombras una vez que cumples con tu cometido.","W końcu o to chodzi w byciu skrytobójcą. Uderzasz, gdy masz przewagę, a następnie wycofujesz się z powrotem w cień, gdy cel zostaje zlikwidowany."
Scenario_SOLO_Nightshroud_HarvestingTheNight_Success_3,"And the job is indeed done. With a few alchemical adjustments, your potent elixir is ready for use.","Et c'est en effet le cas. Après quelques ajustements alchimiques, votre puissant élixir est prêt à l'emploi.",Und diese Arbeit hat sich gelohnt: Nach ein paar alchemistischen Anpassungen ist dein Elixier einsatzbereit.,"Y, efectivamente, lo has cumplido. Tras unos pocos ajustes químicos, el potente elixir está listo para usarse.",To była świetna robota. Dzięki kilku alchemicznym poprawkom twój mroczny eliksir jest gotowy do użycia.
Scenario_SOLO_Nightshroud_HarvestingTheNight_Success_4,You hope that it will keep you right on the edge of the abyss and not send you toppling over into a void of madness.,Vous espérez juste qu'il vous permettra de rester au bord de l'abîme et ne vous précipitera pas dans le néant de la folie.,"Du hoffst, dass du weiter am Rande des Abgrunds tanzen kannst, stets einen Schritt vom wirbelnden Wahnsinn entfernt.",Tienes la esperanza de que te mantenga al límite del abismo y de que no te haga caer en un vacío de locura.,"Masz nadzieję, że utrzyma cię na krawędzi otchłani i nie wepchnie cię w bezkres szaleństwa."
Quest_SOLO_Plagueherald_PlaguedCrypt_NAME,Plagued Crypt,La Crypte de la Peste,Seuchenkrypta,Cripta plagada,Krypta zarazy
Quest_SOLO_Plagueherald_PlaguedCrypt_DESC,The Plagueherald serves Xorn once again,Le Héraut du Fléau sert de nouveau Xorn,Der Seuchenbringer dient Xorn ein weiteres Mal,El Heraldo de la plaga vuelve a servir a Xorn.,Piewca Zarazy ponownie służy Xornowi
Quest_SOLO_Plagueherald_PlaguedCrypt_List,The Plagueherald's Solo Quest,Quête solo du Héraut du Fléau,Soloquest des Seuchenbringers,Misión en solitario del Heraldo de la plaga,Solowa misja Piewcy Zarazy
Quest_SOLO_Plagueherald_PlaguedCrypt_INTRO,"You creep through the ruins of yet another long-forgotten crypt, looking for answers. The voice of Xorn, the god of the plague, spoke to you as you hibernated. It warned you not to grow complacent in your endeavors. It said that following the path of the plague would never be easy.

The voice directed you to this location, which is full of foul creatures without a purpose. It is your job to harness their power and shape it into something that can properly bring glory to Xorn.","Une fois encore, vous vous retrouvez à explorer une crypte depuis longtemps tombée dans l'oubli, en quête de réponses. La voix de Xorn, le dieu de la Peste, s'est adressée à vous alors que vous étiez en hibernation, afin de vous prévenir de ne pas sombrer dans la suffisance et de vous dire que suivre la voie de la peste ne serait jamais facile.
 
 La voix vous a guidé vers cet endroit grouillant d'immondes créatures errant sans but. À vous de récupérer leur pouvoir et de le façonner pour créer quelque chose qui glorifiera Xorn.","Du schleichst durch die Ruinen einer weiteren vergessenen Krypta und suchst nach Antworten. Die Stimme von Xorn, dem Seuchengott, hat im Schlaf zu dir gesprochen und dich vor Selbstgefälligkeit gewarnt. Es werde nie einfach sein, dem Weg der Seuche zu folgen.
 
 Die Stimme hat dich zu diesem Ort geführt, der voller übler Kreaturen ohne Ziel ist. Es ist deine Aufgabe, ihre Macht zu nutzen und zu etwas zu machen, was Xorn Ruhm bringen kann.","Te arrastras por las ruinas de una cripta olvidada hace ya mucho tiempo en busca de respuestas. La voz de Xorn, el dios de la plaga, te habló mientras hibernabas: te recomendó que no te volvieses complaciente con tus esfuerzos; te advirtió que seguir el sendero de la plaga no sería fácil.
 
 La voz te trajo hasta este lugar lleno de asquerosas criaturas que carecen de propósito alguno. Tu labor es encauzar su poder y transformarlo en algo que pueda traerle gloria a Xorn.","Badasz ruiny kolejnej zapomnianej krypty, szukając odpowiedzi. Xorn - bóg zarazy, przemówił do ciebie podczas twojej hibernacji. Ostrzegł cię przed popadnięciem w pychę, bo podążanie ścieżką Xorna nigdy nie jest łatwe.

Głos skierował cię do tego miejsca, pełnego bezdusznych stworzeń. Twoim zadaniem jest wykorzystać ich moc i ukształtować ją w coś, co może przynieść chwałę bogowi zarazy,"
Scenario_SOLO_Plagueherald_PlaguedCrypt_Start_1,"You find a set of narrow stairs, overgrown with a black moss. Descending, you come to a large room of pillars and coffins. There are four ominous, ornate doors leading in different directions.","Au bout de quelques instants, vous découvrez un escalier étroit aux marches couvertes de mousse noire. Décidant de l'emprunter, vous descendez jusqu'à une pièce immense, pleine de piliers et de sarcophages. Il y a également là quatre portes ornées pour le moins inquiétantes, donnant sur les quatre directions cardinales.","Du entdeckst eine schmale, mit schwarzem Moos überwucherte Treppe. Unten öffnet sich ein großer Raum mit Säulen und Särgen vor dir. Vier düster verzierte Türen führen in verschiedene Richtungen.","Encuentras unas escaleras estrechas cubiertas de moho negro. Al descender, llegas a una gran sala llena de pilares y de ataúdes. Hay 4 inquietantes puertas ornamentadas que conducen a diferentes direcciones.","Schodzisz po wąskich schodach, porośniętych czarnym mchem. Po chwili, dochodzisz do dużęgo pomieszczenia, w którym leżą sarkofagi, a sufit podtrzymują wielkie filary. Cztery masywne drzwi prowadzą w różnych kierunkach."
Scenario_SOLO_Plagueherald_PlaguedCrypt_Start_2,"""Here lie the vermin and pestilence that will relinquish their power to you,"" Xorn says. ""Strike them down and take their poison as your own.""","« C'est ici que rôdent la vermine et la pestilence qui renonceront à leur pouvoir pour toi, vous explique Xorn. Tue-les et empare-toi de leur poison. »","""Hier lauern Ungeziefer und Übel, die dir ihre Macht überantworten werden"", sagt Xorn. ""Schlag sie nieder und beanspruche ihr Gift als dein eigenes.""",—Aquí están los parásitos y la pestilencia que te cederán su poder —dice Xorn—. Acaba con ellos y haz tuyo su veneno.,"„Tutaj znajdziesz plugawe robactwo i zarazę, z których zdobędziesz moc“ - przemówił Xorn. „Zabij ich i zabierz ich jad!“"
Scenario_SOLO_Plagueherald_PlaguedCrypt_Start_3,"There is a flash of light and six green, glowing figures appear around you. ""I cannot aid you directly, but I offer you some protection. Use these spirits however you wish.""","Dans un soudain éclair lumineux, six formes vertes et brillantes apparaissent autour de vous. « Je ne peux pas t'aider directement, mais je vais tout de même t'offrir une certaine protection. Utilise ces esprits comme bon te semble. »","Es blitzt, und sechs grün leuchtende Figuren erscheinen um dich herum. ""Ich kann dir nicht direkt helfen, aber ich biete dir etwas Schutz. Gebrauche diese Geister nach deinem Willen.""","Con un destello de luz, 6 figuras de un tono verde brillante aparecen a tu alrededor.
 
 —No puedo ayudarte directamente, pero te ofrezco algo de protección. Usa estos espíritus a tu antojo.","Nagle oślepia cię błysk światła, a wokół ciebie pojawia się sześć zielonych, świecących postaci. „Nie mogę ci bezpośrednio pomóc, ale postaram zapewnić ci ochronę. Wykorzystaj te duchy, jak chcesz.“"
Scenario_SOLO_Plagueherald_PlaguedCrypt_Start_4,"As the voice subsides, you hear a loud grating of stone against stone. The doors are slowly opening. It is time to prepare yourself.","Lorsque la voix se tait, vous entendez un grand bruit de raclement. Les portes s'ouvrent lentement. Il est temps de vous préparer au pire.","Als die Stimme verklingt, hörst du ein lautes Schaben von Stein auf Stein. Langsam öffnen sich die Türen. Du solltest dich bereitmachen.","Mientras la voz se atenúa, oyes el fuerte rechinar de piedra contra piedra. Las puertas se abren lentamente. Ha llegado el momento de prepararse.","Gdy głos cichnie, słyszysz odgłos tarcia skały o skałę. Powoli otwierają się drzwi. Czas się przygotować."
Scenario_SOLO_Plagueherald_PlaguedCrypt_Success_1,"The last of the creatures falls victim to your swarm, and you slowly, meticulously harvest its venom and the rest of  its spoils until you have a large coin purse full of sacs and glands.","La dernière créature s'écroule, victime de votre nuée, et vous récoltez lentement et méticuleusement ses glandes à venin et ses autres trésors, jusqu'à ce que votre grande sacoche soit pleine à ras bord.","Die letzte Kreatur fällt deinem Schwarm zum Opfer. Du sammelst langsam und bedächtig das Gift und alles Brauchbare ein, bis dein Beutel prall mit Säcken und Drüsen gefüllt ist.","La última de las criaturas cae, víctima de tu plaga, y tú, lenta y meticulosamente, recolectas su veneno y demás restos hasta que tienes una gran bolsa llena de glándulas y otros órganos.","Ostatnie ze stworzeń pada ofiarą twego roju, a ty powoli i skrupulatnie zbierasz ich jad, aż zapełnisz duża sakwę gruczołami i trucizną."
Scenario_SOLO_Plagueherald_PlaguedCrypt_Success_2,"Using your many claws, you raise the purse up as an offering. In a flash of green light, the bag disappears, and in its place you find a brooch radiating dark energy.","Vous soulevez alors cette dernière pour l'offrir à Xorn. Dans un éclair de lumière verte, elle disparaît, et à sa place, vous découvrez une broche dégageant une énergie obscure.","Mit deinen vielen Klauen hältst du den Beutel als Opfergabe in die Höhe. Er verschwindet in einem grünen Blitz. An seiner Stelle findest du eine Brosche, die dunkle Energie ausstrahlt.","Usando tus muchas garras, alzas la bolsa a modo de ofrenda. Con un destello de luz verde, la bolsa desaparece y, en su lugar, hay un colgante que irradia energía oscura.","Wznosisz sakwę do góry, jakbyś składał ofiarę. W błysku zielonego światła sakwa znika, a na jej miejscu pojawia się brosza promieniująca mroczną energią."
Scenario_SOLO_Plagueherald_PlaguedCrypt_Success_3,"The halls of the crypt are silent, but you know you have fulfilled your purpose here. You return to Gloomhaven, eager to continue down the path of the plague.","Les couloirs de la crypte sont silencieux, mais vous savez que vous avez rempli votre rôle. Vous retournez donc à Havrenuit, prêt à poursuivre votre exploration de la voie de la peste.","Die Hallen der Krypta bleiben still, aber du weißt, dass du deine Aufgabe hier erfüllt hast. Du kehrst nach Gloomhaven zurück, um weiter dem Weg der Seuche zu folgen.","Los pasillos de la cripta están en silencio, sabes que tu misión aquí ya ha terminado. Así que regresas a Gloomhaven impaciente por seguir recorriendo el sendero de la plaga.","Sale krypty pogrążają się w ciszy, ale ty dobrze wiesz, że osiągnąłeś swój cel. Wracasz do Gloomhaven, by nadal szerzyć zarazę."
Quest_SOLO_Berserker_UnnaturalInsults_NAME,Unnatural Insults,Insultes surnaturelles,Widernatürliche Beleidigungen,Ofensas sobrenaturales,Nienaturalna zniewaga
Quest_SOLO_Berserker_UnnaturalInsults_DESC,The Berserker must revisit their ancestor's resting place,La Berserker doit retourner sur la tombe de ses ancêtres,Die Berserkerin muss die Ruhestätte ihrer Ahnen wiedersehen,La Berserker regresa al lugar de reposo de sus ancestros.,Berserkerka musi odwiedzić miejsce spoczynku swoich przodków
Quest_SOLO_Berserker_UnnaturalInsults_List,The Berserker's Solo Quest,Quête solo de la Berserker,Soloquest der Berserkerin,Misión en solitario de la Berserker,Solowa misja Berserkerki
Quest_SOLO_Berserker_UnnaturalInsults_INTRO_GH_1,At first you thought it was just a by-product of spending too much time within the city. A strong sense of unease built up inside you until you could no longer bear it.,"Au début, vous avez cru que c'était un effet secondaire de tout le temps que vous avez passé en ville. Un fort sentiment de malaise a grandi en vous au fil du temps, jusqu'à ce que vous ne puissiez plus le supporter.","Zuerst dachtest du, es läge daran, dass du so viel Zeit in der Stadt verbracht hast. Unrast baut sich in dir auf, bis du sie nicht mehr ertragen kannst.","Al principio, pensabas que no era más que una consecuencia de pasar demasiado tiempo en la ciudad, pero una gran inquietud creció en tu interior hasta que no pudiste soportarlo más.","Początkowo myślałaś, że to tylko efekt uboczny spędzania zbyt dużej ilości czasu w mieście. Narastał w tobie silny niepokój, aż nie mogłaś już tego znieść."
Quest_SOLO_Berserker_UnnaturalInsults_INTRO_GH_2,"Though perhaps it isn't this disgusting human city causing your discomfort, perhaps its something else… now you can feel a tangible disturbance in the wilderness… an unnatural threat to your old home in the forest.","Mais à la réflexion, peut-être cette cité répugnante n'est-elle pas la cause de votre inconfort. Il se pourrait qu'il s'agisse d'autre chose. Vous sentez en effet une grande perturbation dans le monde naturel... une menace venue d'ailleurs qui plane sur la forêt où vous viviez autrefois.","Vielleicht ist nicht die widerliche Menschenstadt dein Problem, sondern etwas anderes ... Jetzt spürst du eine fast greifbare Störung in der Wildnis ... eine unnatürliche Bedrohung deiner alten Heimat im Wald.","Fue entonces cuando te diste cuenta de que no era esta desagradable cantidad de actividad humana lo que estaba provocándote ese desasosiego, sino, más bien, una amenaza sobrenatural que se cernía sobre tu antiguo hogar en el bosque, una alteración de la naturaleza.","Wtedy zdałaś sobie sprawę, że to nie chodzi tu ohydne efekty działalności człowieka, ale nienaturalne zagrożenie dla twojej wioski w lesie. Coś złego działo się w dziczy."
Quest_SOLO_Berserker_UnnaturalInsults_INTRO,"You race back to your tribe, searching for the cause. They tell you of an Inox necromancer from a rival settlement who has invaded the nearby burial ground and begun to harvest corpses with the intent of overrunning your village.

Your hatred burns bright and deep. This servant of corruption has the gall not only to desecrate the resting place of your ancestors, but use them to threaten your home as well?

You wordlessly heft your axes and march off into the trees. This insult is deserving of every drop of blood that bastard has to shed.","Vous retournez précipitamment auprès de votre tribu pour tenter de découvrir la cause du problème. Vos frères vous parlent d'un nécromancien Inox originaire d'une tribu rivale qui a investi la nécropole toute proche et commencé à réveiller les morts dans le but de conquérir votre village.
 
 Vous sentez une haine violente enfler en vous. Non seulement ce serviteur de la corruption a l'audace de profaner le lieu de sépulture de vos ancêtres, mais en plus, il compte utiliser ces derniers pour menacer votre forêt natale ?
 
 Sans un mot, vous reprenez vos haches et vous engagez entre les arbres. Une telle insulte se paiera dans le sang !","Du eilst zu deinem Stamm zurück, um die Ursache zu finden, und erfährst, dass ein Inox-Nekromant aus einer rivalisierenden Siedlung in das nahegelegene Gräberfeld eingedrungen ist und Leichen sammelt, um dein Dorf zu überrennen.
 
 Dein Hass brennt strahlend und tief. Dieser Scherge der Verderbnis hat die Stirn, die Ruhestätte deiner Ahnen zu entweihen und sie auch noch zu benutzen, um deine Heimat zu bedrohen?
 
 Du packst wortlos deine Äxte und stapfst in den Wald. Für diesen Frevel wird dieser Bastard bis zum letzten Blutstropfen büßen.","Regresas corriendo a tu tribu, buscando la causa. Te hablan acerca de un nigromante inox perteneciente a un asentamiento rival que ha invadido un cementerio cercano y ha empezado a recolectar cadáveres con la intención de arrasar vuestra aldea.
 
 El odio arde en tus entrañas. Ese desgraciado hereje tiene la osadía no solo de profanar el lugar de descanso de vuestros antepasados, sino también de amenazar vuestro hogar.
 
 En silencio, alzas tus hachas y te adentras en la maleza. Esta ofensa merece hasta la última gota de sangre que pueda derramar ese bastardo.","Czym prędzej wracasz do swego plemienia, szukając odpowiedzi. Mieszkańcy opowiadają ci o nekromancie z sąsiedniej osady, który zajął cmentarz i zaczął przyzywać zwłoki do życia, chcąc zaatakować waszą wioskę.

Nienawiść zapłonęła w tobie jasno i wyraźnie. Nie dość, że ten plugawy parszywiec bezcześci miejsce spoczynku twoich przodków, to jeszcze grozi twojemu domowi?

Bez słowa sięgasz ze swe topory i wchodzisz między drzewa. Ta zniewaga zasługuje na każdą kroplę krwi, jaką wyciśniesz z tego nędznika."
Scenario_SOLO_Berserker_UnnaturalInsults_Misc_1,"The fog lifts, and before you stands an imposing Inox adorned with the bones and skulls of many different creatures and races.","Le brouillard se dissipe, et devant vous se tient un imposant Inox paré d'ossements et de crânes de créatures de différentes races.","Der Nebel lichtet sich. Vor dir steht ein imposanter Inox, geschmückt mit Knochen und Schädeln diverser Kreaturen und Völker.","La niebla se despeja y, ante ti, aparece un imponente inox ataviado con huesos y cráneos de muchas criaturas de diferentes razas.","Mgła się podnosi, a przed tobą stoi potężny Inox obwieszony czaszkami wielu różnorakich stworzeń."
Scenario_SOLO_Berserker_UnnaturalInsults_Misc_2,"""What whelp has come to oppose my rise to power?"" He laughs as you spit curses at him about disrupting the natural order.","« Que viens-tu faire ici, pathétique créature ? » Il éclate de rire lorsque vous l'abreuvez d'injures pour avoir osé perturber l'ordre naturel des choses.","""Was für ein Welpe will da meinen Aufstieg zur Macht vereiteln?"" Er lacht, als du seine Störung der natürlichen Ordnung verfluchst.",—¿Qué cachorrito se opone a mi ascenso al poder? —ríe mientras tú le maldices por su alteración del orden natural—.,"„Taka łajza miałaby przeszkodzić mi w dojściu do władzy?“ - śmieje się, kiedy obrzucasz go zniewagami za zakłócanie naturalnego porządku."
Scenario_SOLO_Berserker_UnnaturalInsults_Misc_3,"""You have the fetid stink of the city upon you and dare to lecture me on what is natural?""","« Tu empestes l'odeur fétide des villes, et tu as l'audace de me donner des leçons sur ce qui est ou non naturel ? »","""Du trägst den fauligen Gestank der Stadt und wagst es, mich zu belehren, was natürlich ist?""",¿Te atreves a darme lecciones de lo que es o no natural cuando llevas encima el fétido hedor a ciudad? —se burla—.,"„Żyjesz w szambie zwanym miastem i śmiesz mnie pouczać o tym, co jest zgodne z naturą?“ - mówi drwiąco."
Scenario_SOLO_Berserker_UnnaturalInsults_Misc_4,"He sneers. ""When you die, I will burn your corpse to ash. It would not be fit enough to serve in my army.""","Il ne cache pas son mépris. « Quand je t'aurai tuée, je réduirai ton corps en cendres, car il ne serait même pas digne de servir dans mon armée. »","Er schnaubt. ""Wenn du tot bist, werde ich deine Leiche einäschern. Sie hat keinen Platz in meiner Armee verdient.""","Cuando mueras, incineraré tu cadáver. No serías lo bastante buena para formar parte de mi ejército.","„Kiedy cię zabiję, spalę twoje zwłoki. Jesteś za słaba, żeby służyć w mojej armii nieumarłych.“"
Scenario_SOLO_Berserker_UnnaturalInsults_Success_1,"The necromancer falls as you hack at him, but it does not quell your rage. You scream with primal fury, and, blow after blow, his corpse becomes further disfigured and mutilated.","Le nécromancien finit par tomber sous vos coups, mais cela ne calme pas votre colère. Poussant un long hurlement de rage primale, vous vous acharnez sur son cadavre, que vous laissez défiguré et mutilé.","Der Nekromant erliegt deinen Hieben, doch das stillt deinen Zorn nicht. Schreiend entstellst und verstümmelst du seine Leiche Schlag um Schlag weiter.","El nigromante cae cuando le das el último hachazo, pero eso no logra apaciguar tu ira. Gritas con una furia primitiva y su cadáver se desfigura más y más con cada golpe.","Nekromanta pada, kiedy wbijasz mu topór w czaszkę, ale to nie tłumi twojej nienawiści. Krzyczysz ze zwierzęcą furią, a po wielu wściekłych ciosach jego ciało jest całkowicie zmasakrowane."
Scenario_SOLO_Berserker_UnnaturalInsults_Success_2,You scarcely notice when his undead minions turn to dust or when his allies flee into the trees.,"Vous ne voyez même pas ses sbires morts-vivants retomber en poussière, ni ses alliés s'enfuir dans la forêt.","Du bemerkst kaum, wie seine untoten Diener zu Staub zerfallen und seine Verbündeten in den Wald fliehen.",Apenas te percatas del momento en que sus esbirros no muertos se convierten en polvo y sus aliados huyen a los árboles.,"Nawet nie zauważasz, kiedy jego nieumarli słudzy zamieniają się w proch, a sojusznicy uciekają między drzewa."
Scenario_SOLO_Berserker_UnnaturalInsults_Success_3,"Only when every last ounce of energy is drained from your limbs do you stop, and you are forced to drop to the blood-soaked ground.","Vous ne reprenez vos esprits qu'une fois vidée de votre énergie, et vous vous laissez tomber à genoux sur le sol trempé de sang.","Erst, als du völlig erschöpft bist, hältst du inne und sinkst auf den blutgetränkten Boden.",Solo te detienes cuando la energía de tus extremidades se agota y acabas cayendo al ensangrentado suelo.,"Widzisz to dopiero, gdy całkowicie opuszczają ci siły i musisz usiąść na przesiąkniętej krwią ziemi."
Scenario_SOLO_Berserker_UnnaturalInsults_Success_4,"Once you have rested and the red mist leaves your vision, you look down at the mangled skull of your enemy and begin to work.","Une fois que vous vous êtes reposée, le voile rouge que vous aviez devant les yeux s'est dissipé, et vous observez un instant la tête mutilée de votre adversaire et vous mettez au travail.","Nachdem du etwas gerastet hast und der rote Nebel sich langsam lichtet, schaust du auf den zugerichteten Schädel deines Gegners hinab.","Una vez que has descansado y que la niebla roja deja de empañar tu visión, observas el cráneo destrozado de tu enemigo y te pones manos a la obra.",Z czasem łapiesz oddech i furia powoli znika. Patrzysz na roztrzaskaną czaszkę wroga i bierzesz się do roboty.
Scenario_SOLO_Berserker_UnnaturalInsults_Success_5,"After tearing off the skin and sinew, you craft a ghastly mask from the bones... one that will warn every enemy of your tribe that you are not to be trifled with.","Après en avoir retiré la peau et les tendons, vous découpez le crâne pour en faire un masque effrayant, qui servira d'avertissement à tous les adversaires de votre tribu : ne vous frottez pas à nous.","Du ziehst die Haut ab und fertigst aus den Knochen eine grässliche Maske, die jeden Gegner deines Stammes das Fürchten lehren wird.","Después de arrancarle la piel y los tendones, te fabricas una horrible máscara con sus huesos, una que advierta a cualquier enemigo que no debe meterse con tu tribu.","Po zerwaniu skóry i ścięgien, tworzysz z kości okropną maskę - taką, która ostrzega każdego wroga twojego plemienia, że nie wolno cię lekceważyć."
Quest_SOLO_Soothsinger_BattleOfTheBards_NAME,Battle of the Bards,La Bataille des Bardes,Bardenkampf,Batalla de bardos,Bitwa bardów
Quest_SOLO_Soothsinger_BattleOfTheBards_DESC,The Soothsinger meets a fellow entertainer,La Chante-Vrai rencontre une autre artiste,Die Wahrsängerin trifft einen Kollegen,La Melodiosa conoce a otra artista.,Trubadurka spotyka inną pieśniarkę
Quest_SOLO_Soothsinger_BattleOfTheBards_List,The Soothsinger's Solo Quest,Quête solo de la Chante-Vrai,Soloquest der Wahrsängerin,Misión en solitario de la Melodiosa,Solowa misja Trubadurki
Quest_SOLO_Soothsinger_BattleOfTheBards_INTRO_GH_1,"""I want to hire you to play at the Brown Door, and I need you to perform right now.""","« Je souhaite t'engager pour jouer à la Porte Brune. Tout de suite, je veux dire. »","""Ich brauche dich für einen Auftritt in der Braunen Tür, und zwar auf der Stelle.""","—Quiero contratarte para que toques en la Puerta Marrón, y necesitaría que lo hicieras ahora mismo.","„Chcę cię wynająć, żebyś zagrała w Brązowych Drzwiach i chcę, żebyś zrobiła to teraz.“"
Quest_SOLO_Soothsinger_BattleOfTheBards_INTRO_GH_2,"The proprietor of the popular bar sits across from you at a nearby inn and stares at you stonefaced. You try to object to the incredibly short notice, but he raises a hand in protest.","Le propriétaire du célèbre bar est assis en face de vous dans une autre auberge du quartier et vous regarde avec un visage indéchiffrable. Vous tentez de lui dire que vous n'allez pas pouvoir, car il ne vous laisse pas le temps de vous organiser, mais il lève la main pour vous couper la parole.","Der Inhaber der beliebten Bar sitzt dir in einem nahen Gasthaus gegenüber und starrt dich ausdruckslos an. Überrumpelt willst du widersprechen, aber er hebt die Hand.","El propietario del famoso bar se sienta frente a ti en una posada y te mira impertérrito. Intentas quejarte por la poca antelación, pero él levanta la mano en señal de protesta.","Właściciel popularnej gospody siedzi naprzeciwko ciebie w pobliskiej karczmie i wpatruje się w ciebie z kamienną twarzą. Próbujesz zaprotestować, ale ucisza cię ruchem ręki."
Quest_SOLO_Soothsinger_BattleOfTheBards_INTRO_GH_3,"""I booked a Vermling singer for earlier tonight,"" he continues. ""An unconventional choice, for sure, but I had heard good things about her... calls herself the Song of the Deep""","« J'avais recruté une chanteuse Vermling pour ce soir, vous explique-t-il. Un choix peu orthodoxe, j'en conviens, mais j'avais entendu de bonnes choses à son sujet. Elle se fait appeler le Chant des Profondeurs. »","""Ich hatte für heute eine Ratzen-Sängerin gebucht"", fährt er fort. ""Eine ungewöhnliche Wahl, ich weiß, aber ich habe viel Gutes über sie gehört ... Sie nennt sich Tiefenlied.","Contraté a una cantante infestora para que tocara hoy —continúa—. Una elección poco convencional, sin lugar a dudas, pero me habían hablado bien de ella… Se hace llamar la Canción de las profundidades.","„Wcześniej, na dzisiejszy wieczór zaprosiłem pewną szczurocką pieśniarkę“ - kontynuuje. „To dość nietypowy wybór, ale słyszałem o niej same dobre rzeczy. Nazywa się Pieśnią Otchłani.“"
Quest_SOLO_Soothsinger_BattleOfTheBards_INTRO_GH_4,"""Everything was going great until my patrons started doing weird things. They all fell silent, as if in a trance, and then began to act out the song the Vermling was singing.""","« Tout allait bien jusqu'à ce que mes clients commencent à avoir un comportement étrange. Subitement, ils se sont tous tus, comme s'ils étaient en transe, après quoi ils se sont mis à mimer les paroles de la chanson que la Vermling était en train de chanter. »","Alles lief gut, doch dann begannen die Gäste, seltsame Dinge zu tun. Sie verstummten wie in Trance und begannen dann, das Lied aufzuführen, das die Ratzen-Sängerin sang.","Todo iba bien hasta que mis clientes empezaron a actuar de forma extraña. Primero, se quedaron en silencio, como en estado de trance, y luego empezaron a representar la canción que interpretaba la infestora.","„No i w sumie wszystko szło świetnie, dopóki moi klienci nie zaczęli robić dziwnych rzeczy. Wszyscy zamilkli, jakby w transie, a potem zaczęli robić dokładnie to, o czym śpiewała.“"
Quest_SOLO_Soothsinger_BattleOfTheBards_INTRO_GH_5,"""When some of my guards tried to stop the patrons from hurting themselves, they were viciously attacked.""","« Quand plusieurs de mes gardes ont essayé d'empêcher les clients de se blesser, ils se sont fait brutalement agresser. »","Meine Wachen wollten die Gäste davon abhalten, sich zu verletzen, da wurden sie angegriffen.","Cuando algunos de mis guardias intentaron evitar que los clientes se hicieran daño, estos les atacaron brutalmente.","„Kiedy niektórzy z moich strażników próbowali powstrzymać ich przed zrobieniem sobie krzywdy, zostali brutalnie zaatakowani.“"
Quest_SOLO_Soothsinger_BattleOfTheBards_INTRO_GH_6,"""It’s like the Vermling had taken over my patrons’ minds and completely swayed them into doing whatever she wanted.""",« C'est comme si la Vermling avait pris le contrôle de leur esprit et les forçait à faire tout ce qu'elle désirait. »,"Es war, als hätte die Sängerin die Gedanken meiner Gäste übernommen. Sie taten, was sie wollte.",Como si la infestora se hubiera apoderado de sus mentes y los hubiera persuadido para que hicieran lo que ella quisiera.,"„To tak, jakby ta Szczuroka przejęła umysły moich gości i skłoniła do robienia tego, co chciała.“"
Quest_SOLO_Soothsinger_BattleOfTheBards_INTRO_GH_7,"""I escaped and tried to get the city guards to do something about it, but of all the people who’ve gone in, no one has come out. My only hope is that another performer, such as you, can counteract the Vermling’s influence.""","« J'ai réussi à m'enfuir et j'ai tenté de convaincre les Gardes de la Cité de faire quelque chose, mais ceux qui sont rentrés dans mon bar n'en sont pas ressortis. Mon seul espoir, à ce stade, c'est qu'un autre artiste soit capable de contrer la force de persuasion de cette Vermling. D'où ma présence ici. »","Ich entkam und rief die Stadtwache um Hilfe, aber wer reinging, kam nicht wieder raus. Meine einzige Hoffnung ist, dass ein anderer Künstler, jemand wie du, sich dem Einfluss der Sängerin entziehen kann.""","Escapé e intenté que la guardia de la ciudad hiciera algo, pero ninguno de los que ha entrado ha salido por esa puerta. La única esperanza que me queda es que otra música, como tú, pueda contrarrestar la influencia de la infestora.","„Uciekłem i próbowałem nakłonić strażników miejskich, żeby coś z tym zrobili, ale wszyscy, którzy tam weszli, już nie wyszli. Moją jedyną szansą jest to, że inna pieśniarka, taka jak ty, potrafi jakoś odczynić ten urok.“"
